"Habitat","n_species","Total_Pseudogenes","Total_Coding","Total_Genes","Prop_Pseudo","CI_lower","CI_upper","binom_p"
"Freshwater",37,20855,41433,62288,0.334815694836887,0.331119988828303,0.338532054827876,1.12097595758057e-38
"Marine",7,2766,4023,6789,0.407423773751657,0.395791689680897,0.419162018842703,4.50346223817606e-16
"Terrestrial",6,4659,4885,9544,0.488160100586756,0.47813833903618,0.498191521393197,4.85498034574125e-145
